"","SPOKE","HUB","2016","2017","2018","2019","2020","2021","Mean","Median","sd"
"78","JPN","All",0.625151915145034,0.627819082750404,0.637562373273654,0.642550460984233,0.639529019351842,0.630657486324361,0.633878389638254,0.634109929799007,0.00698494020325358
"79","KOR","All",0.680494071494801,0.649945249762007,0.652708472022404,0.659120058631501,0.664974517168352,0.675971823759977,0.66386903213984,0.662047287899926,0.012369916434041
"80","MYS","All",0.60982084737233,0.61598453184555,0.621350731012395,0.634170723018648,0.653804361591211,0.658571277479937,0.632283745386679,0.627760727015521,0.0202361503381006
"81","MEX","All",1,1,1,1,1,1,1,1,0
"82","NLD","All",0.429180434362845,0.43293131217404,0.442897653469853,0.450560887355961,0.445722361045564,0.449971622788091,0.441877378532726,0.444310007257709,0.00892176508956785
"83","POL","All",1,1,1,1,1,1,1,1,0
"84","RUS","All",0.617693554038537,0.639669818025806,0.674904976634614,0.65589723202005,0.731927481518945,0.699351901906259,0.669907494024035,0.665401104327332,0.0414133477440546
"85","SAU","All",0.391528707372331,0.403252987020546,0.436909288514189,0.508222270782859,0.531492139743832,0.500402384596884,0.461967963005107,0.468655836555537,0.0591394136063251
"86","SGP","All",0.390953455945456,0.413694487816719,0.400786326343984,0.437821447100495,0.473381609936248,0.453819847559616,0.428409529117086,0.425757967458607,0.0320602174853397
"87","ESP","All",0.269398726326466,0.271126217874907,0.265562369639365,0.263564811411165,0.272282559055683,0.253545065882483,0.265913291698345,0.267480547982915,0.00690654669601755
"88","CHE","All",0.767664693906883,0.862923746222351,0.917710797862322,0.800085061220579,0.892521743117047,0.914894458460457,0.85930008346494,0.877722744669699,0.06248650921316
"89","THA","All",0.702490569418748,0.7178433189406,0.700362246611838,0.714101651623493,0.73714740014968,0.759569189539496,0.721919062713976,0.715972485282047,0.0226685711357437
"90","ARE","All",0.159950407374982,0.187988390139762,0.202277711883292,0.182974726140938,0.254555130043993,0.240975911832341,0.204787046235885,0.195133051011527,0.036224547635231
"91","GBR","All",0.566212628358859,0.551581013346657,0.539563660126469,0.587937003887838,0.548269388298703,0.482451664857834,0.546002559812727,0.54992520082268,0.0354496200388116
"92","USA","All",0.146237526487236,0.151555942908553,0.136274371837299,0.13010182876645,0.160823979945953,0.156322633735368,0.146886047280143,0.148896734697895,0.0118309871282352
"93","VNM","All",1,1,1,1,1,1,1,1,0
