"","From","To","Mean","UCI","p.value"
"264","ATG","PYF",2.54799977986702e-09,6.48209532870678e-09,0.082
"265","ATG","GIB",1.08372037693504e-09,2.38479844192723e-09,0.083
"266","ATG","GTM",9.44335476276604e-09,2.20761762069912e-08,0.08
"267","ATG","GIN",9.07493346018949e-09,2.72248003805685e-08,0.33
"268","ATG","HND",2.16435558088661e-09,4.32871116177323e-09,0.102
"269","ATG","IDN",6.39241862547539e-09,1.68534478546376e-08,0.097
"270","ATG","ISR",1.29641906574136e-09,3.88925719722407e-09,0.351
"271","ATG","KEN",4.0188991037982e-08,8.03779820759641e-08,0.34
"272","ATG","LBN",2.36864637340424e-09,5.80952005447136e-09,0.09
"273","ATG","MWI",1.755872235993e-07,5.1281882266717e-07,0.082
"274","ATG","MLT",4.09720512772605e-09,8.1944102554521e-09,0.079
"275","ATG","MNG",2.7111093587533e-09,8.13332807625991e-09,0.331
"276","ATG","MOZ",1.16229332400565e-08,3.37068957092753e-08,0.086
"277","ATG","NPL",3.02151049190391e-08,8.94529155361536e-08,0.072
"278","ATG","NOR",1.72855875432181e-09,5.18567626296543e-09,0.326
"279","ATG","PHL",3.34934302649018e-07,7.14326905223487e-07,0.079
"280","ATG","RUS",3.97466406987872e-10,1.19239922096362e-09,0.329
"281","ATG","STP",1.42961601718258e-09,3.12694404065347e-09,0.077
"282","ATG","SVK",2.59283813148271e-09,7.77851439444814e-09,0.344
"283","ATG","PSE",1.29641906574136e-09,3.88925719722407e-09,0.342
"284","ATG","TZA",1.26616928754072e-07,3.79850786262217e-07,0.334
"285","ATG","TGO",6.9487645347855e-10,2.08462936043565e-09,0.308
"286","ATG","TCA",3.09841069571806e-09,9.29523208715418e-09,0.334
"287","ATG","UZB",1.04231468021782e-09,3.12694404065347e-09,0.352
"288","ATG","VEN",7.74602673929515e-10,2.32380802178854e-09,0.324
"289","ARG","AND",2.27685975156232e-08,4.97153283725611e-08,0.079
"290","ARG","AIA",1.52768620805469e-07,4.58305862416407e-07,0.33
"291","ARG","BES",4.22586283909506e-06,1.26775885172852e-05,0.336
"292","ARG","BWA",6.24809014377028e-08,1.82795088269531e-07,0.078
"293","ARG","TCD",5.8338857958361e-08,1.75016573875083e-07,0.349
"294","ARG","MAC",3.45711750864362e-09,1.03713525259309e-08,0.335
"295","ARG","ERI",2.93854988234707e-08,5.87709976469415e-08,0.357
"296","ARG","SWZ",4.43966811307511e-08,8.87933622615022e-08,0.088
"297","ARG","GIB",8.76717321679885e-08,1.94462859861203e-07,0.085
"298","ARG","KGZ",8.30936558689525e-08,1.66187311737905e-07,0.077
"299","ARG","LSO",7.79834798390617e-07,1.9653713036639e-06,0.106
"300","ARG","LUX",0.000160109810725703,0.000478601929716248,0.339
